Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
D. Dorman,198112,15,23,0.65,3,6,0.50,18,36,0.50,4,22,0.18,6,8,0.75,4,12,0.33,10,26,0.38,14,31,0.45
K. Galloway,203339,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. McKenna,208170,3,5,0.60,47,73,0.64,26,52,0.50,46,124,0.37,10,15,0.67,35,83,0.42,44,133,0.33,105,248,0.42
L. Martinez,188019,4,5,0.80,119,205,0.58,53,104,0.51,127,287,0.44,28,47,0.60,166,361,0.46,5,13,0.38,7,23,0.30
P. Reid,191234,0,0,0.00,107,168,0.64,1,2,0.50,1,6,0.17,26,40,0.65,118,229,0.52,6,12,0.50,3,8,0.38
C. Miller,192817,85,100,0.85,52,92,0.57,79,155,0.51,157,436,0.36,20,27,0.74,10,16,0.62,70,166,0.42,94,276,0.34
S. Babb,187989,41,50,0.82,35,61,0.57,65,139,0.47,154,430,0.36,42,49,0.86,9,19,0.47,77,157,0.49,115,331,0.35
E. Smith,201012,23,32,0.72,7,10,0.70,15,42,0.36,19,52,0.37,6,9,0.67,2,2,1.00,22,50,0.44,31,74,0.42
M. Kovac,212978,1,1,1.00,2,4,0.50,4,6,0.67,3,6,0.50,3,4,0.75,4,11,0.36,0,0,0.00,0,0,0.00
N. Clarke,192156,0,0,0.00,15,34,0.44,5,23,0.22,25,61,0.41,3,4,0.75,8,11,0.73,27,52,0.52,20,43,0.47
K. Schmitz,192462,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
P. Moulton,203212,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Hayward,207654,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
V. Gray,200506,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Urban,193568,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Noland,198556,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
O. Dyer,217026,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Drew,198952,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Burham,199301,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Beverly,200225,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Hunt,209601,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Hubbard,205561,1,2,0.50,0,0,0.00,1,2,0.50,2,5,0.40,0,1,0.00,1,1,1.00,1,1,1.00,0,1,0.00
C. He,205571,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Freeman,193504,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Stuart,192339,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Hines,195439,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Gallegos,191797,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Manning,202252,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Shackleford,194597,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
I. Ballard,210047,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Wilson,207949,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. McDonnell,207217,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Navarro,198444,8,10,0.80,110,172,0.64,39,74,0.53,26,76,0.34,13,22,0.59,120,204,0.59,46,96,0.48,44,118,0.37
D. Eaton,196140,1,2,0.50,267,418,0.64,9,25,0.36,0,0,0.00,16,24,0.67,189,390,0.48,10,22,0.45,6,19,0.32
K. Molina,196531,3,3,1.00,176,294,0.60,4,8,0.50,1,2,0.50,18,29,0.62,185,346,0.53,6,16,0.38,0,6,0.00
H. Chavez,195037,25,30,0.83,47,81,0.58,60,122,0.49,156,451,0.35,31,39,0.79,41,70,0.59,52,145,0.36,77,208,0.37
F. Olsen,192454,50,65,0.77,12,32,0.38,94,173,0.54,88,252,0.35,30,37,0.81,19,30,0.63,63,145,0.43,60,188,0.32
T. Dobbins,207918,3,3,1.00,3,5,0.60,7,13,0.54,3,12,0.25,1,1,1.00,1,2,0.50,15,26,0.58,6,24,0.25
E. Turner,192227,25,31,0.81,15,27,0.56,31,60,0.52,78,254,0.31,18,24,0.75,17,29,0.59,52,101,0.51,80,191,0.42
S. Abercrombie,192351,6,9,0.67,33,64,0.52,27,61,0.44,46,115,0.40,9,15,0.60,47,90,0.52,16,38,0.42,19,52,0.37
I. Yancey,192510,0,0,0.00,5,10,0.50,6,8,0.75,6,10,0.60,2,2,1.00,7,8,0.88,5,21,0.24,11,37,0.30
T. Curley,209345,0,0,0.00,7,10,0.70,0,0,0.00,0,0,0.00,1,2,0.50,5,7,0.71,0,1,0.00,1,1,1.00
