Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
N. Bradshaw,195509,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,1,1.00,0,0,0.00,1,2,0.50,1,1,1.00
A. Lemon,207373,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,3,3,1.00,1,1,1.00,0,0,0.00
C. Franco,196095,22,31,0.71,50,89,0.56,25,66,0.38,41,134,0.31,25,31,0.81,14,31,0.45,55,130,0.42,53,163,0.33
M. Ross,192007,0,5,0.00,134,216,0.62,16,33,0.48,13,30,0.43,7,15,0.47,89,169,0.53,10,32,0.31,14,35,0.40
A. Adkins,192592,2,3,0.67,169,265,0.64,4,13,0.31,8,24,0.33,6,16,0.38,86,178,0.48,5,15,0.33,6,23,0.26
G. Barnett,205714,46,63,0.73,7,11,0.64,28,96,0.29,19,59,0.32,19,23,0.83,11,23,0.48,32,92,0.35,44,128,0.34
J. Crowder,198550,71,89,0.80,37,65,0.57,61,148,0.41,53,183,0.29,24,30,0.80,12,19,0.63,36,101,0.36,65,201,0.32
R. Richmond,209049,1,1,1.00,13,24,0.54,2,4,0.50,2,4,0.50,1,3,0.33,23,40,0.57,2,3,0.67,2,4,0.50
C. Blair,190905,4,4,1.00,85,130,0.65,33,68,0.49,58,165,0.35,9,16,0.56,24,63,0.38,35,89,0.39,38,125,0.30
D. Mack,209469,5,5,1.00,3,5,0.60,12,24,0.50,6,12,0.50,1,2,0.50,1,2,0.50,7,22,0.32,11,31,0.35
T. Alexander,204743,5,5,1.00,27,58,0.47,8,32,0.25,35,77,0.45,12,16,0.75,42,85,0.49,37,66,0.56,40,92,0.43
M. Tucker,198403,0,2,0.00,193,334,0.58,15,22,0.68,8,24,0.33,10,20,0.50,167,294,0.57,6,17,0.35,7,21,0.33
B. Troyer,207598,0,0,0.00,3,11,0.27,2,4,0.50,1,3,0.33,1,2,0.50,9,23,0.39,3,4,0.75,0,1,0.00
T. Cameron,187862,6,6,1.00,29,60,0.48,21,57,0.37,39,101,0.39,12,16,0.75,23,36,0.64,42,94,0.45,38,130,0.29
C. Munoz,194241,14,18,0.78,177,291,0.61,13,32,0.41,21,41,0.51,11,22,0.50,88,189,0.47,17,36,0.47,11,37,0.30
O. Snyder,188680,2,6,0.33,224,362,0.62,10,15,0.67,0,1,0.00,8,20,0.40,83,197,0.42,12,27,0.44,8,15,0.53
C. Browne,205473,58,66,0.88,21,53,0.40,63,129,0.49,89,282,0.32,12,23,0.52,19,29,0.66,44,115,0.38,67,202,0.33
S. Bergstrom,196152,49,82,0.60,8,16,0.50,44,115,0.38,68,183,0.37,30,35,0.86,19,32,0.59,47,114,0.41,67,215,0.31
A. McNamara,197134,20,30,0.67,4,6,0.67,18,48,0.38,8,32,0.25,15,17,0.88,12,16,0.75,21,47,0.45,24,85,0.28
P. Bos,206394,0,3,0.00,112,200,0.56,8,15,0.53,1,4,0.25,12,18,0.67,87,182,0.48,8,21,0.38,7,23,0.30
A. Lankford,194565,6,6,1.00,40,76,0.53,13,26,0.50,15,37,0.41,3,6,0.50,36,51,0.71,7,23,0.30,20,44,0.45
G. Moody,201469,16,21,0.76,15,32,0.47,21,53,0.40,42,122,0.34,14,16,0.88,23,34,0.68,36,83,0.43,29,126,0.23
T. Mellberg,202992,0,0,0.00,17,25,0.68,4,21,0.19,6,25,0.24,3,4,0.75,11,18,0.61,8,25,0.32,18,34,0.53
S. Kurtz,208068,0,0,0.00,3,7,0.43,0,0,0.00,0,0,0.00,3,4,0.75,8,15,0.53,0,3,0.00,1,3,0.33
M. Bishop,202363,1,3,0.33,18,34,0.53,24,46,0.52,24,59,0.41,1,3,0.33,72,146,0.49,12,27,0.44,12,35,0.34
A. Dimovski,216098,0,0,0.00,3,6,0.50,2,6,0.33,1,3,0.33,1,2,0.50,6,14,0.43,0,2,0.00,0,1,0.00
D. Baldwin,198483,0,0,0.00,81,142,0.57,2,6,0.33,2,4,0.50,12,22,0.55,148,328,0.45,7,12,0.58,4,11,0.36
P. Owens,193569,29,39,0.74,139,231,0.60,58,116,0.50,117,300,0.39,19,28,0.68,94,182,0.52,16,55,0.29,38,101,0.38
W. Hui,196434,13,15,0.87,6,10,0.60,11,30,0.37,16,41,0.39,11,14,0.79,7,12,0.58,24,49,0.49,26,91,0.29
P. Sands,189084,49,76,0.64,36,59,0.61,112,248,0.45,3,14,0.21,42,51,0.82,19,36,0.53,48,124,0.39,70,166,0.42
P. Venturi,195317,6,7,0.86,141,244,0.58,30,63,0.48,14,30,0.47,12,19,0.63,150,295,0.51,5,19,0.26,2,10,0.20
C. Waugh,208291,0,0,0.00,10,20,0.50,0,0,0.00,0,2,0.00,1,2,0.50,15,36,0.42,3,4,0.75,1,1,1.00
R. Tucker,200053,18,23,0.78,51,97,0.53,58,125,0.46,90,269,0.33,15,16,0.94,17,43,0.40,43,112,0.38,61,172,0.35
M. Erickson,208507,1,1,1.00,1,1,1.00,2,2,1.00,4,7,0.57,3,3,1.00,1,1,1.00,2,4,0.50,4,6,0.67
T. Robinson,198979,1,1,1.00,0,0,0.00,0,1,0.00,1,4,0.25,0,0,0.00,0,0,0.00,1,2,0.50,1,4,0.25
B. Robison,194054,24,40,0.60,23,49,0.47,32,73,0.44,63,180,0.35,16,19,0.84,12,22,0.55,35,87,0.40,53,144,0.37
A. Herzog,192576,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Grant,196637,28,36,0.78,52,104,0.50,69,133,0.52,88,228,0.39,14,16,0.88,33,56,0.59,48,119,0.40,98,246,0.40
G. Jablonski,197809,2,3,0.67,135,241,0.56,19,41,0.46,20,49,0.41,6,24,0.25,81,187,0.43,18,35,0.51,18,44,0.41
C. Esposito,194369,0,0,0.00,140,309,0.45,14,23,0.61,7,27,0.26,16,34,0.47,99,231,0.43,7,21,0.33,4,20,0.20
D. Mullins,195017,56,71,0.79,23,48,0.48,91,170,0.54,107,274,0.39,22,30,0.73,14,30,0.47,41,125,0.33,80,238,0.34
S. Elrod,200807,22,27,0.81,9,16,0.56,34,92,0.37,57,157,0.36,37,47,0.79,18,27,0.67,83,164,0.51,85,250,0.34
A. Glenn,208035,0,0,0.00,25,79,0.32,18,31,0.58,8,23,0.35,5,6,0.83,56,85,0.66,3,10,0.30,5,13,0.38
R. Holton,197559,10,12,0.83,22,39,0.56,23,61,0.38,27,82,0.33,8,13,0.62,15,21,0.71,32,76,0.42,42,123,0.34
M. Chavarria,202117,6,11,0.55,4,9,0.44,14,30,0.47,11,43,0.26,5,6,0.83,7,10,0.70,11,31,0.35,21,58,0.36
L. Hughes,202431,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. DuPont,203753,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Hand,193285,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Qian,214702,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Finch,194193,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Borisov,216442,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Krause,208689,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Bell,201560,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Blank,196213,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. Sexton,190255,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Parnell,190940,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Graham,195286,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Gipson,187847,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Pierce,205284,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Paul,202425,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Ivey,200474,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Burt,199748,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Stone,198721,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Mayes,197614,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Cooper,189605,37,52,0.71,40,93,0.43,42,106,0.40,70,197,0.36,21,26,0.81,35,56,0.62,37,104,0.36,71,174,0.41
M. Palmer,195699,1,1,1.00,172,298,0.58,10,22,0.45,9,19,0.47,4,10,0.40,103,202,0.51,28,53,0.53,19,37,0.51
D. Whitehead,202859,9,10,0.90,140,215,0.65,10,29,0.34,7,18,0.39,3,10,0.30,113,239,0.47,19,35,0.54,6,28,0.21
J. Douglas,197336,38,50,0.76,39,72,0.54,50,117,0.43,134,299,0.45,22,26,0.85,35,55,0.64,42,79,0.53,72,211,0.34
D. Wright,198305,80,109,0.73,10,19,0.53,73,174,0.42,51,144,0.35,25,30,0.83,16,25,0.64,36,93,0.39,62,193,0.32
G. Gilmore,202726,0,1,0.00,0,0,0.00,0,1,0.00,1,3,0.33,1,2,0.50,1,1,1.00,1,2,0.50,1,5,0.20
A. Colonna,211546,14,22,0.64,78,135,0.58,26,52,0.50,16,49,0.33,5,9,0.56,84,159,0.53,20,58,0.34,21,61,0.34
G. Spangler,206543,1,1,1.00,2,4,0.50,1,2,0.50,3,5,0.60,0,0,0.00,0,0,0.00,0,2,0.00,4,6,0.67
D. Doll,190545,21,27,0.78,27,45,0.60,40,93,0.43,1,3,0.33,7,13,0.54,22,37,0.59,17,46,0.37,34,84,0.40
C. Cleveland,204456,11,13,0.85,4,8,0.50,6,17,0.35,4,12,0.33,3,3,1.00,3,8,0.38,5,12,0.42,16,34,0.47
F. Destrade,216042,0,0,0.00,1,1,1.00,0,0,0.00,0,2,0.00,0,0,0.00,3,3,1.00,0,1,0.00,0,2,0.00
A. Whittle,220586,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
L. Paige,210141,0,0,0.00,0,0,0.00,0,0,0.00,0,2,0.00,1,1,1.00,1,1,1.00,3,5,0.60,1,2,0.50
D. McCoy,210096,1,1,1.00,1,1,1.00,1,3,0.33,3,7,0.43,0,0,0.00,0,1,0.00,1,2,0.50,5,7,0.71
E. Brown,208579,2,2,1.00,3,4,0.75,1,6,0.17,4,10,0.40,4,4,1.00,0,1,0.00,9,22,0.41,7,20,0.35
J. Linn,205709,0,0,0.00,44,73,0.60,1,2,0.50,0,2,0.00,4,7,0.57,30,71,0.42,3,9,0.33,0,5,0.00
Q. Gibbs,198997,0,0,0.00,45,75,0.60,2,5,0.40,4,9,0.44,3,6,0.50,41,78,0.53,1,2,0.50,2,5,0.40
M. Rogers,202428,4,7,0.57,1,6,0.17,3,13,0.23,12,40,0.30,5,6,0.83,9,18,0.50,21,44,0.48,29,73,0.40
D. Sheridan,197989,3,4,0.75,6,12,0.50,5,12,0.42,13,32,0.41,5,6,0.83,5,8,0.62,12,29,0.41,18,51,0.35
K. Burger,209874,0,0,0.00,2,2,1.00,0,0,0.00,0,1,0.00,2,3,0.67,1,7,0.14,1,1,1.00,0,0,0.00
S. Walton,199607,10,11,0.91,7,12,0.58,12,29,0.41,36,82,0.44,18,21,0.86,12,21,0.57,28,63,0.44,39,99,0.39
N. Grantham,200290,55,81,0.68,2,6,0.33,34,89,0.38,37,96,0.39,31,40,0.78,13,20,0.65,49,115,0.43,66,164,0.40
R. Galindo,192372,2,3,0.67,229,356,0.64,16,32,0.50,14,41,0.34,14,24,0.58,116,240,0.48,5,15,0.33,2,11,0.18
A. Russell,209226,13,18,0.72,5,8,0.62,5,25,0.20,11,38,0.29,6,10,0.60,3,7,0.43,28,62,0.45,19,57,0.33
J. Lyman,188468,9,10,0.90,51,83,0.61,37,59,0.63,90,224,0.40,9,14,0.64,18,31,0.58,36,80,0.45,50,126,0.40
M. Gay,203089,2,4,0.50,47,93,0.51,23,45,0.51,28,108,0.26,15,19,0.79,58,115,0.50,33,70,0.47,23,84,0.27
D. Brockman,205261,0,0,0.00,44,85,0.52,10,21,0.48,2,8,0.25,13,14,0.93,93,152,0.61,7,15,0.47,10,14,0.71
K. Godwin,193907,3,7,0.43,99,208,0.48,5,19,0.26,1,3,0.33,13,32,0.41,141,283,0.50,11,30,0.37,7,25,0.28
J. Archuleta,202031,17,22,0.77,26,47,0.55,23,73,0.32,58,179,0.32,16,18,0.89,24,45,0.53,60,107,0.56,48,148,0.32
G. Ross,192324,66,98,0.67,12,29,0.41,71,173,0.41,71,194,0.37,40,46,0.87,17,28,0.61,62,150,0.41,58,140,0.41
A. Blanco,203720,0,0,0.00,7,13,0.54,6,15,0.40,6,29,0.21,3,6,0.50,7,14,0.50,6,22,0.27,14,52,0.27
K. Langley,194777,14,18,0.78,15,27,0.56,18,50,0.36,32,108,0.30,18,20,0.90,12,19,0.63,42,102,0.41,41,114,0.36
J. Wilburn,209759,10,16,0.62,7,12,0.58,21,55,0.38,28,90,0.31,12,13,0.92,11,17,0.65,21,68,0.31,37,92,0.40
N. Lane,192796,0,0,0.00,0,1,0.00,1,2,0.50,1,2,0.50,2,3,0.67,0,1,0.00,2,4,0.50,2,4,0.50
A. Hood,193249,4,6,0.67,223,340,0.66,16,47,0.34,8,20,0.40,14,26,0.54,70,181,0.39,11,21,0.52,9,23,0.39
B. Spahn,206763,2,3,0.67,24,45,0.53,3,12,0.25,2,12,0.17,6,7,0.86,25,45,0.56,6,16,0.38,11,27,0.41
J. Dixon,201451,1,1,1.00,1,4,0.25,2,3,0.67,2,13,0.15,0,1,0.00,2,2,1.00,3,10,0.30,1,10,0.10
L. Watt,201523,0,0,0.00,0,1,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,3,0.33
N. Schulz,206059,0,0,0.00,0,5,0.00,0,0,0.00,0,2,0.00,2,2,1.00,4,8,0.50,0,1,0.00,1,1,1.00
J. Egawa,205773,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,2,3,0.67
S. Middleton,208117,0,1,0.00,8,11,0.73,0,4,0.00,5,11,0.45,4,5,0.80,12,15,0.80,2,7,0.29,2,7,0.29
J. Zamora,197580,33,46,0.72,14,32,0.44,22,65,0.34,59,171,0.35,17,23,0.74,29,37,0.78,45,102,0.44,51,173,0.29
D. Sweat,200561,4,4,1.00,224,407,0.55,14,29,0.48,4,8,0.50,16,26,0.62,163,264,0.62,23,37,0.62,10,28,0.36
L. Warren,192856,3,5,0.60,136,249,0.55,2,7,0.29,1,9,0.11,19,29,0.66,159,296,0.54,11,31,0.35,4,21,0.19
L. Douglas,196958,10,12,0.83,72,133,0.54,42,88,0.48,136,327,0.42,11,22,0.50,83,146,0.57,44,93,0.47,53,137,0.39
M. Moody,193364,48,57,0.84,26,42,0.62,71,131,0.54,70,201,0.35,40,51,0.78,15,23,0.65,45,143,0.31,78,239,0.33
E. Kane,200743,13,20,0.65,3,8,0.38,5,17,0.29,20,56,0.36,5,7,0.71,7,13,0.54,27,60,0.45,34,108,0.31
D. Alcala,201929,1,1,1.00,35,67,0.52,11,27,0.41,6,14,0.43,3,5,0.60,54,85,0.64,3,8,0.38,5,12,0.42
D. Wallace,210010,18,21,0.86,38,70,0.54,41,89,0.46,58,160,0.36,23,29,0.79,27,39,0.69,54,106,0.51,76,176,0.43
N. Yoder,200005,0,0,0.00,6,10,0.60,1,5,0.20,1,4,0.25,4,4,1.00,6,11,0.55,5,13,0.38,3,10,0.30
F. Ziegler,203566,8,13,0.62,2,4,0.50,8,18,0.44,7,21,0.33,12,13,0.92,11,14,0.79,19,33,0.58,30,64,0.47
D. Searcy,205276,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Flynn,192823,24,33,0.73,31,83,0.37,31,90,0.34,56,168,0.33,19,21,0.90,42,75,0.56,41,121,0.34,61,206,0.30
T. Jamison,209460,1,3,0.33,117,260,0.45,26,72,0.36,22,58,0.38,20,31,0.65,199,327,0.61,12,31,0.39,11,35,0.31
I. Hampton,198984,1,1,1.00,240,399,0.60,16,39,0.41,15,32,0.47,8,22,0.36,140,326,0.43,7,18,0.39,2,14,0.14
R. Gross,201085,85,115,0.74,17,46,0.37,58,138,0.42,81,225,0.36,11,18,0.61,14,28,0.50,41,105,0.39,61,198,0.31
A. Elliott,201953,32,46,0.70,11,17,0.65,36,90,0.40,87,239,0.36,52,56,0.93,25,38,0.66,49,118,0.42,56,196,0.29
K. Parker,201263,1,3,0.33,3,7,0.43,6,23,0.26,11,34,0.32,13,15,0.87,3,7,0.43,9,29,0.31,9,45,0.20
S. Stearns,203591,2,5,0.40,40,74,0.54,7,14,0.50,0,2,0.00,4,6,0.67,57,103,0.55,7,11,0.64,4,12,0.33
H. Ellsworth,203749,12,14,0.86,5,15,0.33,9,24,0.38,38,126,0.30,3,4,0.75,6,12,0.50,10,32,0.31,18,63,0.29
E. Herrmann,199900,2,2,1.00,25,43,0.58,6,22,0.27,0,3,0.00,4,6,0.67,24,42,0.57,14,33,0.42,20,63,0.32
A. Cole,204723,0,0,0.00,44,100,0.44,2,4,0.50,1,5,0.20,8,14,0.57,89,146,0.61,4,7,0.57,5,9,0.56
J. Sullivan,205298,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
L. Weatherspoon,195264,21,32,0.66,45,105,0.43,39,96,0.41,61,179,0.34,19,23,0.83,35,50,0.70,49,101,0.49,53,177,0.30
E. Jeffries,205122,2,2,1.00,94,203,0.46,25,51,0.49,13,39,0.33,20,31,0.65,152,258,0.59,23,52,0.44,11,37,0.30
J. Greco,194051,1,2,0.50,210,360,0.58,4,17,0.24,1,9,0.11,19,33,0.58,153,294,0.52,10,23,0.43,7,17,0.41
M. Roman,199359,29,38,0.76,28,48,0.58,35,85,0.41,63,213,0.30,30,36,0.83,30,43,0.70,58,129,0.45,64,182,0.35
J. Morales,193756,48,64,0.75,13,33,0.39,71,157,0.45,61,170,0.36,32,44,0.73,15,28,0.54,43,116,0.37,64,196,0.33
R. Barlow,199032,17,22,0.77,6,13,0.46,2,31,0.06,17,52,0.33,18,20,0.90,5,10,0.50,20,55,0.36,27,75,0.36
L. Doyle,197589,2,3,0.67,33,74,0.45,4,8,0.50,0,1,0.00,6,8,0.75,38,68,0.56,6,10,0.60,2,11,0.18
R. Turk,197929,2,2,1.00,12,26,0.46,11,29,0.38,21,56,0.38,6,6,1.00,9,14,0.64,17,41,0.41,16,43,0.37
D. Sowell,196329,13,17,0.76,7,15,0.47,12,31,0.39,12,53,0.23,8,10,0.80,6,8,0.75,16,28,0.57,18,47,0.38
D. Mays,193841,1,2,0.50,25,57,0.44,7,15,0.47,4,11,0.36,9,11,0.82,35,64,0.55,6,10,0.60,3,14,0.21
J. Riley,197729,2,3,0.67,1,3,0.33,4,11,0.36,3,17,0.18,1,2,0.50,0,2,0.00,3,8,0.38,3,19,0.16
A. Bankhead,208659,0,1,0.00,5,13,0.38,3,4,0.75,1,3,0.33,0,0,0.00,17,22,0.77,5,5,1.00,0,1,0.00
J. Faulkner,205318,5,5,1.00,56,95,0.59,27,71,0.38,44,126,0.35,11,18,0.61,44,84,0.52,38,81,0.47,64,166,0.39
B. Fugate,192190,8,18,0.44,84,194,0.43,17,33,0.52,6,22,0.27,9,15,0.60,129,215,0.60,11,25,0.44,7,30,0.23
J. Bernard,205166,2,3,0.67,340,551,0.62,7,19,0.37,0,1,0.00,7,21,0.33,131,307,0.43,11,25,0.44,8,19,0.42
H. Clark,214566,35,47,0.74,32,48,0.67,32,91,0.35,64,172,0.37,27,33,0.82,28,44,0.64,63,142,0.44,90,220,0.41
N. Jovanović,209018,77,113,0.68,14,25,0.56,64,175,0.37,75,207,0.36,36,43,0.84,14,29,0.48,50,130,0.38,60,230,0.26
A. Seymour,219270,2,2,1.00,48,108,0.44,11,26,0.42,10,25,0.40,6,8,0.75,86,144,0.60,9,12,0.75,10,23,0.43
R. Hastings,202656,15,19,0.79,7,11,0.64,9,28,0.32,7,39,0.18,9,11,0.82,9,13,0.69,13,35,0.37,19,66,0.29
R. Bean,200482,13,21,0.62,9,13,0.69,17,43,0.40,27,73,0.37,10,13,0.77,10,22,0.45,12,47,0.26,26,83,0.31
J. Register,204367,1,2,0.50,46,90,0.51,16,29,0.55,17,49,0.35,6,6,1.00,36,66,0.55,20,46,0.43,25,73,0.34
D. Fung,205778,0,0,0.00,1,1,1.00,0,4,0.00,4,9,0.44,0,1,0.00,2,2,1.00,3,5,0.60,4,9,0.44
A. Breen,197912,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. White,208177,0,0,0.00,0,0,0.00,1,3,0.33,1,1,1.00,1,2,0.50,0,0,0.00,5,7,0.71,2,5,0.40
O. Contreras,208296,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Keita,222242,0,0,0.00,1,3,0.33,0,1,0.00,0,1,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,2,0.00
J. Coughlin,195359,3,5,0.60,50,103,0.49,50,117,0.43,75,242,0.31,13,15,0.87,32,66,0.48,59,138,0.43,69,190,0.36
S. Sibley,198977,4,5,0.80,214,398,0.54,21,39,0.54,16,54,0.30,17,28,0.61,135,281,0.48,13,24,0.54,11,32,0.34
D. Kidd,193142,1,4,0.25,130,219,0.59,10,28,0.36,4,9,0.44,14,27,0.52,153,277,0.55,11,17,0.65,2,12,0.17
H. Cushman,205797,24,35,0.69,24,46,0.52,57,124,0.46,73,218,0.33,29,31,0.94,18,26,0.69,59,140,0.42,78,228,0.34
M. Gamberini,199627,42,49,0.86,10,23,0.43,66,121,0.55,122,315,0.39,40,51,0.78,13,23,0.57,65,153,0.42,84,182,0.46
E. Broderick,199372,32,47,0.68,11,22,0.50,20,55,0.36,21,49,0.43,11,15,0.73,11,20,0.55,29,82,0.35,50,130,0.38
K. Schwartz,203675,0,0,0.00,23,51,0.45,2,9,0.22,0,2,0.00,8,9,0.89,19,51,0.37,5,9,0.56,2,5,0.40
R. Barbour,197534,1,3,0.33,101,145,0.70,2,9,0.22,3,12,0.25,6,12,0.50,42,88,0.48,5,9,0.56,4,8,0.50
F. Wechsler,210124,2,2,1.00,17,31,0.55,12,22,0.55,9,37,0.24,1,1,1.00,9,14,0.64,13,32,0.41,12,36,0.33
J. Van,202278,1,3,0.33,3,7,0.43,3,10,0.30,8,13,0.62,0,0,0.00,2,2,1.00,1,7,0.14,5,18,0.28
C. Griffin,196221,1,3,0.33,0,0,0.00,2,5,0.40,2,4,0.50,3,3,1.00,0,1,0.00,4,9,0.44,1,9,0.11
A. Harrell,197699,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,1,0.00
R. House,194182,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,2,2,1.00,0,0,0.00,0,0,0.00
F. Gaines,209046,1,3,0.33,88,183,0.48,27,61,0.44,17,59,0.29,21,31,0.68,103,183,0.56,17,50,0.34,18,40,0.45
C. Bachman,199908,16,23,0.70,93,197,0.47,19,48,0.40,7,29,0.24,29,57,0.51,169,311,0.54,15,23,0.65,4,21,0.19
E. Barnhill,208406,1,2,0.50,109,205,0.53,16,27,0.59,3,28,0.11,28,46,0.61,148,278,0.53,10,17,0.59,5,20,0.25
D. Tate,206464,23,29,0.79,18,54,0.33,47,127,0.37,98,291,0.34,18,22,0.82,25,35,0.71,71,164,0.43,87,214,0.41
O. Jay,208325,19,30,0.63,43,84,0.51,60,147,0.41,71,220,0.32,19,22,0.86,31,43,0.72,74,171,0.43,79,215,0.37
J. Reilly,210109,0,0,0.00,2,2,1.00,0,0,0.00,1,3,0.33,0,0,0.00,1,1,1.00,0,1,0.00,1,1,1.00
